train_window,eval_window,direction,accuracy,f1
2018Q1,2018Q2,forward,0.5935162094763092,0.6464208242950108
2018Q2,2018Q3,forward,0.6270783847980997,0.6762886597938145
2018Q2,2018Q1,backward,0.7091412742382271,0.7286821705426356
2018Q3,2018Q4,forward,0.5242914979757085,0.5869947275922671
2018Q3,2018Q2,backward,0.6957605985037406,0.7162790697674418
2018Q4,2019Q1,forward,0.5905511811023622,0.6363636363636364
2018Q4,2018Q3,backward,0.7125890736342043,0.7205542725173211
2019Q1,2019Q2,forward,0.631578947368421,0.6798780487804879
2019Q1,2018Q4,backward,0.7732793522267206,0.800711743772242
2019Q2,2019Q3,forward,0.5900383141762452,0.572
2019Q2,2019Q1,backward,0.7874015748031497,0.7906976744186046
2019Q3,2019Q4,forward,0.5966542750929368,0.6482982171799028
2019Q3,2019Q2,backward,0.7228070175438597,0.75
2019Q4,2020Q1,forward,0.6357758620689655,0.6464435146443515
2019Q4,2019Q3,backward,0.7452107279693486,0.73767258382643
2020Q1,2020Q2,forward,0.6376274328081557,0.6649528706083976
2020Q1,2019Q4,backward,0.7323420074349443,0.7591973244147158
2020Q2,2020Q3,forward,0.6277372262773723,0.64
2020Q2,2020Q1,backward,0.7262931034482759,0.7365145228215768
2020Q3,2020Q4,forward,0.6615087040618955,0.6765249537892791
2020Q3,2020Q2,backward,0.7089898053753475,0.70817843866171
2020Q4,2021Q1,forward,0.6411214953271028,0.6631578947368421
2020Q4,2020Q3,backward,0.7469586374695864,0.755868544600939
2021Q1,2021Q2,forward,0.6606896551724138,0.7105882352941176
2021Q1,2020Q4,backward,0.7311411992263056,0.7574171029668412
2021Q2,2021Q3,forward,0.6655886157826649,0.7060830017055145
2021Q2,2021Q1,backward,0.7383177570093458,0.7586206896551724
2021Q3,2021Q4,forward,0.6397727272727273,0.672858617131063
2021Q3,2021Q2,backward,0.7793103448275862,0.8137369033760187
2021Q4,2022Q1,forward,0.6514745308310992,0.6687898089171974
2021Q4,2021Q3,backward,0.7212160413971539,0.7469172049324722
2022Q1,2022Q2,forward,0.6596004891969017,0.6969147005444646
2022Q1,2021Q4,backward,0.7471590909090909,0.7681083897863471
2022Q2,2022Q3,forward,0.6732111692844677,0.7007590890930883
2022Q2,2022Q1,backward,0.7312332439678284,0.74571972098922
2022Q3,2022Q4,forward,0.6326693227091633,0.6462010744435918
2022Q3,2022Q2,backward,0.7280880554423156,0.7417731320170344
2022Q4,2023Q1,forward,0.6407222914072229,0.6530366806975346
2022Q4,2022Q3,backward,0.7556719022687609,0.7721724979658259
2023Q1,2023Q2,forward,0.6791882556131261,0.705975464978235
2023Q1,2022Q4,backward,0.7306772908366533,0.7485119047619048
2023Q2,2023Q3,forward,0.6541353383458647,0.684931506849315
2023Q2,2023Q1,backward,0.7185554171855542,0.7306317044100119
2023Q3,2023Q4,forward,0.6604347826086957,0.6700464723278412
2023Q3,2023Q2,backward,0.7430915371329879,0.7615230460921844
2023Q4,2024Q1,forward,0.6907645722937169,0.7138353765323993
2023Q4,2023Q3,backward,0.7338345864661654,0.7489361702127659
2024Q1,2024Q2,forward,0.6744510282328338,0.6788170563961485
2024Q1,2023Q4,backward,0.7495652173913043,0.7489102005231038
2024Q2,2024Q3,forward,0.6552119129438717,0.68580375782881
2024Q2,2024Q1,backward,0.7566237698713096,0.7786574870912221
2024Q3,2024Q4,forward,0.6681776971894833,0.6833910034602076
2024Q3,2024Q2,backward,0.7594980829557337,0.7686116700201208
