train_window,eval_window,direction,accuracy,precision,recall,f1
2018_M01,2018_M02,forward,0.4666666666666667,0.4788732394366197,0.6415094339622641,0.5483870967741935
2018_M02,2018_M03,forward,0.5212121212121212,0.5473684210526316,0.5909090909090909,0.5683060109289617
2018_M02,2018_M01,backward_1p,0.6813186813186813,0.7837837837837838,0.58,0.6666666666666666
2018_M03,2018_M04,forward,0.5857142857142857,0.5849056603773585,0.8157894736842105,0.6813186813186813
2018_M03,2018_M02,backward_1p,0.5904761904761905,0.5735294117647058,0.7358490566037735,0.6446280991735537
2018_M04,2018_M05,forward,0.5398773006134969,0.5753424657534246,0.4883720930232558,0.5283018867924528
2018_M04,2018_M03,backward_1p,0.703030303030303,0.8,0.5909090909090909,0.6797385620915033
2018_M04,2018_M01,backward_3p,0.6923076923076923,0.7391304347826086,0.68,0.7083333333333334
2018_M05,2018_M06,forward,0.5773809523809523,0.6075949367088608,0.5454545454545454,0.5748502994011976
2018_M05,2018_M04,backward_1p,0.7571428571428571,0.8387096774193549,0.6842105263157895,0.7536231884057971
2018_M05,2018_M02,backward_3p,0.6,0.6170212765957447,0.5471698113207547,0.58
2018_M06,2018_M07,forward,0.6470588235294118,0.652542372881356,0.7549019607843137,0.7
2018_M06,2018_M05,backward_1p,0.6687116564417178,0.6777777777777778,0.7093023255813954,0.6931818181818182
2018_M06,2018_M03,backward_3p,0.703030303030303,0.7468354430379747,0.6704545454545454,0.7065868263473054
2018_M06,2018_M01,backward_5p,0.6703296703296703,0.6923076923076923,0.72,0.7058823529411765
2018_M07,2018_M08,forward,0.6095238095238096,0.6739130434782609,0.543859649122807,0.6019417475728155
2018_M07,2018_M06,backward_1p,0.7380952380952381,0.7619047619047619,0.7272727272727273,0.7441860465116279
2018_M07,2018_M04,backward_3p,0.7285714285714285,0.8518518518518519,0.6052631578947368,0.7076923076923077
2018_M07,2018_M02,backward_5p,0.580952380952381,0.5957446808510638,0.5283018867924528,0.56
2018_M07,2018_M01,backward_6p,0.6153846153846154,0.6744186046511628,0.58,0.6236559139784946
2018_M08,2018_M09,forward,0.5891472868217055,0.6333333333333333,0.5507246376811594,0.5891472868217055
2018_M08,2018_M07,backward_1p,0.6844919786096256,0.6692913385826772,0.8333333333333334,0.74235807860262
2018_M08,2018_M05,backward_3p,0.6441717791411042,0.6272727272727273,0.8023255813953488,0.7040816326530612
2018_M08,2018_M03,backward_5p,0.6666666666666666,0.6601941747572816,0.7727272727272727,0.7120418848167539
2018_M08,2018_M02,backward_6p,0.5619047619047619,0.5492957746478874,0.7358490566037735,0.6290322580645161
2018_M09,2018_M10,forward,0.5370370370370371,0.5666666666666667,0.5862068965517241,0.576271186440678
2018_M09,2018_M08,backward_1p,0.6571428571428571,0.6909090909090909,0.6666666666666666,0.6785714285714286
2018_M09,2018_M06,backward_3p,0.6904761904761905,0.6764705882352942,0.7840909090909091,0.7263157894736842
