method,train_window,eval_window,direction,accuracy,precision,recall,f1,source_file,run_ts
continual_lora,2021_M05-06,2020_M05-06,backward_6p,0.6716826265389877,0.6717724288840262,0.7732997481108312,0.7189695550351288,metrics_log.csv,
continual_lora,2021_M07-08,2021_M09-10,forward,0.6399176954732511,0.6496350364963503,0.6926070038910506,0.6704331450094162,metrics_log.csv,
continual_lora,2021_M07-08,2021_M05-06,backward_1p,0.7298624754420432,0.7477611940298508,0.8253706754530478,0.7846515270164448,metrics_log.csv,
continual_lora,2021_M07-08,2021_M01-02,backward_3p,0.6833333333333333,0.6850828729281768,0.7654320987654321,0.7230320699708455,metrics_log.csv,
continual_lora,2021_M07-08,2020_M09-10,backward_5p,0.7231638418079096,0.7277227722772277,0.7736842105263158,0.75,metrics_log.csv,
continual_lora,2021_M07-08,2020_M07-08,backward_6p,0.6548672566371682,0.6461538461538462,0.7241379310344828,0.6829268292682927,metrics_log.csv,
continual_lora,2021_M09-10,2021_M11-12,forward,0.6267496111975117,0.6303797468354431,0.7259475218658892,0.6747967479674797,metrics_log.csv,
continual_lora,2021_M09-10,2021_M07-08,backward_1p,0.6812977099236641,0.7210084033613445,0.7185929648241206,0.7197986577181208,metrics_log.csv,
continual_lora,2021_M09-10,2021_M03-04,backward_3p,0.6917960088691796,0.7178423236514523,0.7090163934426229,0.7134020618556701,metrics_log.csv,
continual_lora,2021_M09-10,2020_M11-12,backward_5p,0.6609195402298851,0.6698113207547169,0.7473684210526316,0.7064676616915423,metrics_log.csv,
continual_lora,2021_M09-10,2020_M09-10,backward_6p,0.7259887005649718,0.729064039408867,0.7789473684210526,0.7531806615776081,metrics_log.csv,
continual_lora,2021_M11-12,2022_M01-02,forward,0.659903381642512,0.7001972386587771,0.6396396396396397,0.6685499058380414,metrics_log.csv,
continual_lora,2021_M11-12,2021_M09-10,backward_1p,0.6944444444444444,0.7131630648330058,0.7062256809338522,0.7096774193548387,metrics_log.csv,
continual_lora,2021_M11-12,2021_M05-06,backward_3p,0.7102161100196464,0.7727272727272727,0.728171334431631,0.7497879558948262,metrics_log.csv,
continual_lora,2021_M11-12,2021_M01-02,backward_5p,0.69,0.7065868263473054,0.7283950617283951,0.7173252279635258,metrics_log.csv,
continual_lora,2021_M11-12,2020_M11-12,backward_6p,0.6752873563218391,0.712707182320442,0.6789473684210526,0.6954177897574124,metrics_log.csv,
continual_lora,2022_M01-02,2022_M03-04,forward,0.6495433789954338,0.67170626349892,0.6673819742489271,0.6695371367061357,metrics_log.csv,
continual_lora,2022_M01-02,2021_M11-12,backward_1p,0.7013996889580093,0.711484593837535,0.7405247813411079,0.7257142857142858,metrics_log.csv,
continual_lora,2022_M01-02,2021_M07-08,backward_3p,0.6708015267175572,0.7258064516129032,0.678391959798995,0.7012987012987013,metrics_log.csv,
continual_lora,2022_M01-02,2021_M03-04,backward_5p,0.6984478935698448,0.725,0.7131147540983607,0.71900826446281,metrics_log.csv,
continual_lora,2022_M01-02,2021_M01-02,backward_6p,0.68,0.6813186813186813,0.7654320987654321,0.7209302325581395,metrics_log.csv,
continual_lora,2022_M03-04,2022_M05-06,forward,0.6705882352941176,0.6742738589211619,0.7488479262672811,0.7096069868995634,metrics_log.csv,
continual_lora,2022_M03-04,2022_M01-02,backward_1p,0.7033816425120772,0.7190812720848057,0.7333333333333333,0.7261373773416593,metrics_log.csv,
continual_lora,2022_M03-04,2021_M09-10,backward_3p,0.691358024691358,0.6945454545454546,0.7431906614785992,0.7180451127819549,metrics_log.csv,
continual_lora,2022_M03-04,2021_M05-06,backward_5p,0.706286836935167,0.7452229299363057,0.771004942339374,0.7578947368421053,metrics_log.csv,
continual_lora,2022_M03-04,2021_M03-04,backward_6p,0.6496674057649667,0.6747967479674797,0.680327868852459,0.6775510204081633,metrics_log.csv,
continual_lora,2022_M05-06,2022_M07-08,forward,0.6658767772511849,0.7066666666666667,0.6318926974664679,0.6671911880409127,metrics_log.csv,
continual_lora,2022_M05-06,2022_M03-04,backward_1p,0.6974885844748858,0.749379652605459,0.648068669527897,0.6950517836593786,metrics_log.csv,
continual_lora,2022_M05-06,2021_M11-12,backward_3p,0.7045101088646968,0.7243401759530792,0.7201166180758017,0.7222222222222222,metrics_log.csv,
continual_lora,2022_M05-06,2021_M07-08,backward_5p,0.6679389312977099,0.7353497164461248,0.6515912897822446,0.6909413854351687,metrics_log.csv,
continual_lora,2022_M05-06,2021_M05-06,backward_6p,0.7170923379174853,0.7783595113438045,0.7347611202635914,0.7559322033898305,metrics_log.csv,
continual_lora,2022_M07-08,2022_M09-10,forward,0.6858345021037868,0.7004950495049505,0.7331606217616581,0.7164556962025317,metrics_log.csv,
continual_lora,2022_M07-08,2022_M05-06,backward_1p,0.7386996904024767,0.7611241217798594,0.7488479262672811,0.7549361207897793,metrics_log.csv,
continual_lora,2022_M07-08,2022_M01-02,backward_3p,0.6975845410628019,0.7479508196721312,0.6576576576576577,0.6999041227229147,metrics_log.csv,
continual_lora,2022_M07-08,2021_M09-10,backward_5p,0.6872427983539094,0.7075098814229249,0.6964980544747081,0.7019607843137254,metrics_log.csv,
continual_lora,2022_M07-08,2021_M07-08,backward_6p,0.6984732824427481,0.7369308600337268,0.7319932998324958,0.7344537815126051,metrics_log.csv,
continual_lora,2022_M09-10,2022_M11-12,forward,0.6255924170616114,0.6700819672131147,0.5828877005347594,0.6234509056244042,metrics_log.csv,
continual_lora,2022_M09-10,2022_M07-08,backward_1p,0.6816745655608215,0.7055214723926381,0.6855439642324889,0.6953892668178382,metrics_log.csv,
continual_lora,2022_M09-10,2022_M03-04,backward_3p,0.6894977168949772,0.7437185929648241,0.6351931330472103,0.6851851851851852,metrics_log.csv,
continual_lora,2022_M09-10,2021_M11-12,backward_5p,0.702954898911353,0.7317073170731707,0.6997084548104956,0.7153502235469449,metrics_log.csv,
continual_lora,2022_M09-10,2021_M09-10,backward_6p,0.6625514403292181,0.6715867158671587,0.708171206225681,0.6893939393939394,metrics_log.csv,
continual_lora,2022_M11-12,2023_M01-02,forward,0.6365384615384615,0.6539162112932605,0.6563071297989032,0.6551094890510949,metrics_log.csv,
continual_lora,2022_M11-12,2022_M09-10,backward_1p,0.7433380084151473,0.7434052757793765,0.8031088082901554,0.772104607721046,metrics_log.csv,
continual_lora,2022_M11-12,2022_M05-06,backward_3p,0.7176470588235294,0.7278761061946902,0.7580645161290323,0.7426636568848759,metrics_log.csv,
continual_lora,2022_M11-12,2022_M01-02,backward_5p,0.6966183574879227,0.7304015296367112,0.6882882882882883,0.7087198515769945,metrics_log.csv,
continual_lora,2022_M11-12,2021_M11-12,backward_6p,0.671850699844479,0.6864406779661016,0.7084548104956269,0.697274031563845,metrics_log.csv,
continual_lora,2023_M01-02,2023_M03-04,forward,0.6299212598425197,0.6408934707903781,0.6907407407407408,0.6648841354723708,metrics_log.csv,
continual_lora,2023_M01-02,2022_M11-12,backward_1p,0.6928909952606636,0.7032590051457976,0.7308377896613191,0.7167832167832168,metrics_log.csv,
continual_lora,2023_M01-02,2022_M07-08,backward_3p,0.6848341232227488,0.6931818181818182,0.7272727272727273,0.7098181818181818,metrics_log.csv,
continual_lora,2023_M01-02,2022_M03-04,backward_5p,0.6723744292237442,0.6860706860706861,0.7081545064377682,0.6969376979936642,metrics_log.csv,
continual_lora,2023_M01-02,2022_M01-02,backward_6p,0.6927536231884058,0.7112299465240641,0.7189189189189189,0.7150537634408602,metrics_log.csv,
continual_lora,2023_M03-04,2023_M05-06,forward,0.6885593220338984,0.717948717948718,0.6963350785340314,0.7069767441860465,metrics_log.csv,
continual_lora,2023_M03-04,2023_M01-02,backward_1p,0.7009615384615384,0.7322834645669292,0.680073126142596,0.70521327014218,metrics_log.csv,
continual_lora,2023_M03-04,2022_M09-10,backward_3p,0.7531556802244039,0.7638190954773869,0.7875647668393783,0.7755102040816326,metrics_log.csv,
