method,train_window,num_train_samples,fit_time_sec,gpu_mem_peak_MB,params_trainable,source_file,run_ts
upper_baseline,2022_M07-08,22450,11014.724,13525,18355200,resources_log__RUN_20250817-171830.csv,20250817-171830
upper_baseline,2022_M09-10,23876,11715.816,13525,18355200,resources_log__RUN_20250817-171830.csv,20250817-171830
upper_baseline,2022_M11-12,25986,12744.168,13525,18355200,resources_log__RUN_20250817-171830.csv,20250817-171830
upper_baseline,2023_M01-02,28066,13762.36,13525,18355200,resources_log__RUN_20250817-171830.csv,20250817-171830
upper_baseline,2023_M03-04,30098,14764.821,13526,18355200,resources_log__RUN_20250818-193355.csv,20250818-193355
upper_baseline,2023_M05-06,31514,15460.555,13525,18355200,resources_log__RUN_20250818-193355.csv,20250818-193355
upper_baseline,2023_M07-08,32923,16151.917,13525,18355200,resources_log__RUN_20250818-193355.csv,20250818-193355
upper_baseline,2023_M09-10,34227,16792.531,13525,18355200,resources_log__RUN_20250818-193355.csv,20250818-193355
upper_baseline,2023_M11-12,35809,17574.323,13526,18355200,resources_log__RUN_20250819-215120.csv,20250819-215120
upper_baseline,2024_M01-02,37411,18358.848,13525,18355200,resources_log__RUN_20250819-215120.csv,20250819-215120
upper_baseline,2024_M03-04,39624,19444.245,13525,18355200,resources_log__RUN_20250819-215120.csv,20250819-215120
upper_baseline,2024_M05-06,41320,20278.424,13525,18355200,resources_log__RUN_20250819-215120.csv,20250819-215120
upper_baseline,2024_M07-08,42712,20958.202,13526,18355200,resources_log__RUN_20250821-113814.csv,20250821-113814
upper_baseline,2024_M09-10,43451,21318.878,13525,18355200,resources_log__RUN_20250821-113814.csv,20250821-113814
