train_window,eval_window,direction,accuracy,precision,recall,f1
2019_M03-04,2018_M09-10,backward_3p,0.7103825136612022,0.6991150442477876,0.8061224489795918,0.7488151658767772
2019_M03-04,2018_M05-06,backward_5p,0.6797583081570997,0.6683168316831684,0.7758620689655172,0.7180851063829787
2019_M03-04,2018_M03-04,backward_6p,0.6425531914893617,0.6544117647058824,0.7063492063492064,0.6793893129770993
2019_M05-06,2019_M07-08,forward,0.5353260869565217,0.5692307692307692,0.5606060606060606,0.5648854961832062
2019_M05-06,2019_M03-04,backward_1p,0.7305699481865285,0.7166666666666667,0.8269230769230769,0.7678571428571429
2019_M05-06,2018_M11-12,backward_3p,0.7487046632124352,0.732,0.8591549295774648,0.7904967602591793
2019_M05-06,2018_M07-08,backward_5p,0.7054794520547946,0.6994535519125683,0.8050314465408805,0.7485380116959064
2019_M05-06,2018_M05-06,backward_6p,0.6737160120845922,0.6633663366336634,0.7701149425287356,0.7127659574468085
2019_M07-08,2019_M09-10,forward,0.6422535211267606,0.6467661691542289,0.6989247311827957,0.6718346253229974
2019_M07-08,2019_M05-06,backward_1p,0.7303370786516854,0.7461928934010152,0.7616580310880829,0.7538461538461538
2019_M07-08,2019_M01-02,backward_3p,0.6547619047619048,0.673469387755102,0.717391304347826,0.6947368421052632
2019_M07-08,2018_M09-10,backward_5p,0.6994535519125683,0.6936936936936937,0.7857142857142857,0.7368421052631579
2019_M07-08,2018_M07-08,backward_6p,0.678082191780822,0.6878612716763006,0.7484276729559748,0.7168674698795181
2019_M09-10,2019_M11-12,forward,0.6083086053412463,0.6302083333333334,0.6648351648351648,0.6470588235294118
2019_M09-10,2019_M07-08,backward_1p,0.6983695652173914,0.7403314917127072,0.6767676767676768,0.7071240105540897
2019_M09-10,2019_M03-04,backward_3p,0.7616580310880829,0.79,0.7596153846153846,0.7745098039215687
2019_M09-10,2018_M11-12,backward_5p,0.727979274611399,0.7307692307692307,0.8028169014084507,0.7651006711409396
2019_M09-10,2018_M09-10,backward_6p,0.7049180327868853,0.7115384615384616,0.7551020408163265,0.7326732673267327
2019_M11-12,2020_M01-02,forward,0.6162790697674418,0.635483870967742,0.6253968253968254,0.6304
2019_M11-12,2019_M09-10,backward_1p,0.7154929577464789,0.7053140096618358,0.7849462365591398,0.7430025445292621
2019_M11-12,2019_M05-06,backward_3p,0.702247191011236,0.732620320855615,0.7098445595854922,0.7210526315789474
2019_M11-12,2019_M01-02,backward_5p,0.6785714285714286,0.69,0.75,0.71875
2019_M11-12,2018_M11-12,backward_6p,0.7227979274611399,0.7208333333333333,0.812206572769953,0.7637969094922737
2020_M01-02,2020_M03-04,forward,0.6097922848664689,0.6246851385390428,0.6850828729281768,0.6534914361001317
2020_M01-02,2019_M11-12,backward_1p,0.6973293768545994,0.6904761904761905,0.7967032967032966,0.7397959183673469
2020_M01-02,2019_M07-08,backward_3p,0.6467391304347826,0.6559633027522935,0.7222222222222222,0.6875
2020_M01-02,2019_M03-04,backward_5p,0.7409326424870466,0.7647058823529411,0.75,0.7572815533980582
2020_M01-02,2019_M01-02,backward_6p,0.6428571428571429,0.6509433962264151,0.75,0.696969696969697
2020_M03-04,2020_M05-06,forward,0.6265389876880985,0.6614583333333334,0.6397984886649875,0.6504481434058899
2020_M03-04,2020_M01-02,backward_1p,0.7275747508305648,0.7745454545454545,0.6761904761904762,0.7220338983050848
2020_M03-04,2019_M09-10,backward_3p,0.6873239436619718,0.6847290640394089,0.7473118279569892,0.7146529562982005
2020_M03-04,2019_M05-06,backward_5p,0.6741573033707865,0.7225433526011561,0.6476683937823834,0.6830601092896175
2020_M03-04,2019_M03-04,backward_6p,0.7461139896373057,0.7956989247311828,0.7115384615384616,0.751269035532995
2020_M05-06,2020_M07-08,forward,0.6283185840707964,0.6290322580645161,0.6724137931034483,0.65
2020_M05-06,2020_M03-04,backward_1p,0.7077151335311572,0.7188328912466844,0.7486187845303868,0.7334235453315291
2020_M05-06,2019_M11-12,backward_3p,0.6765578635014837,0.6763285024154589,0.7692307692307693,0.7197943444730077
2020_M05-06,2019_M07-08,backward_5p,0.6467391304347826,0.67,0.6767676767676768,0.6733668341708543
2020_M05-06,2019_M05-06,backward_6p,0.702247191011236,0.732620320855615,0.7098445595854922,0.7210526315789474
2020_M07-08,2020_M09-10,forward,0.6299435028248588,0.6482412060301508,0.6789473684210526,0.6632390745501285
2020_M07-08,2020_M05-06,backward_1p,0.7414500683994528,0.7857142857142857,0.7204030226700252,0.7516425755584757
2020_M07-08,2020_M01-02,backward_3p,0.7043189368770764,0.7437722419928826,0.6634920634920635,0.7013422818791947
2020_M07-08,2019_M09-10,backward_5p,0.6873239436619718,0.7586206896551724,0.5913978494623656,0.6646525679758308
2020_M07-08,2019_M07-08,backward_6p,0.6304347826086957,0.6741573033707865,0.6060606060606061,0.6382978723404256
2020_M09-10,2020_M11-12,forward,0.5862068965517241,0.6236559139784946,0.6105263157894737,0.6170212765957447
2020_M09-10,2020_M07-08,backward_1p,0.7079646017699115,0.7403846153846154,0.6637931034482759,0.7
2020_M09-10,2020_M03-04,backward_3p,0.6735905044510386,0.7191358024691358,0.643646408839779,0.6793002915451894
2020_M09-10,2019_M11-12,backward_5p,0.7388724035608308,0.7640449438202247,0.7472527472527473,0.7555555555555555
2020_M09-10,2019_M09-10,backward_6p,0.6957746478873239,0.7746478873239436,0.5913978494623656,0.6707317073170732
2020_M11-12,2021_M01-02,forward,0.6566666666666666,0.6878980891719745,0.6666666666666666,0.677115987460815
2020_M11-12,2020_M09-10,backward_1p,0.7853107344632768,0.8131868131868132,0.7789473684210526,0.7956989247311828
2020_M11-12,2020_M05-06,backward_3p,0.6949384404924761,0.7253886010362695,0.7052896725440806,0.7151979565772669
2020_M11-12,2020_M01-02,backward_5p,0.6611295681063123,0.6933797909407665,0.6317460317460317,0.6611295681063123
2020_M11-12,2019_M11-12,backward_6p,0.7388724035608308,0.7526881720430108,0.7692307692307693,0.7608695652173914
2021_M01-02,2021_M03-04,forward,0.6541019955654102,0.7222222222222222,0.5860655737704918,0.6470588235294118
2021_M01-02,2020_M11-12,backward_1p,0.6982758620689655,0.7272727272727273,0.7157894736842105,0.7214854111405835
2021_M01-02,2020_M07-08,backward_3p,0.6814159292035398,0.7037037037037037,0.6551724137931034,0.6785714285714286
2021_M01-02,2020_M03-04,backward_5p,0.7091988130563798,0.7398843930635838,0.7071823204419889,0.7231638418079096
2021_M01-02,2020_M01-02,backward_6p,0.6677740863787376,0.7003484320557491,0.638095238095238,0.6677740863787376
2021_M03-04,2021_M05-06,forward,0.6620825147347741,0.6925329428989752,0.7792421746293245,0.7333333333333333
2021_M03-04,2021_M01-02,backward_1p,0.7466666666666667,0.7388888888888889,0.8209876543209876,0.7777777777777778
2021_M03-04,2020_M09-10,backward_3p,0.748587570621469,0.7348837209302326,0.8315789473684211,0.7802469135802469
2021_M03-04,2020_M05-06,backward_5p,0.707250341997264,0.7122969837587007,0.7732997481108312,0.7415458937198067
2021_M03-04,2020_M03-04,backward_6p,0.7062314540059347,0.711340206185567,0.7624309392265194,0.736
2021_M05-06,2021_M07-08,forward,0.6507633587786259,0.7166979362101313,0.6398659966499163,0.6761061946902654
2021_M05-06,2021_M03-04,backward_1p,0.7117516629711752,0.7878787878787878,0.639344262295082,0.7058823529411765
2021_M05-06,2020_M11-12,backward_3p,0.6695402298850575,0.6963350785340314,0.7,0.6981627296587927
2021_M05-06,2020_M07-08,backward_5p,0.668141592920354,0.6990291262135923,0.6206896551724138,0.6575342465753424
2021_M05-06,2020_M05-06,backward_6p,0.6839945280437757,0.7150259067357513,0.6952141057934509,0.7049808429118773
2021_M07-08,2021_M09-10,forward,0.6183127572016461,0.6367112810707457,0.6478599221789884,0.6422372227579557
2021_M07-08,2021_M05-06,backward_1p,0.775049115913556,0.7990506329113924,0.8319604612850082,0.8151735270379338
2021_M07-08,2021_M01-02,backward_3p,0.7233333333333334,0.7309941520467836,0.7716049382716049,0.7507507507507507
2021_M07-08,2020_M09-10,backward_5p,0.7570621468926554,0.7407407407407407,0.8421052631578947,0.7881773399014779
2021_M07-08,2020_M07-08,backward_6p,0.6371681415929203,0.6268656716417911,0.7241379310344828,0.672
2021_M09-10,2021_M11-12,forward,0.6594090202177294,0.6823529411764706,0.6763848396501457,0.6793557833089312
2021_M09-10,2021_M07-08,backward_1p,0.7137404580152672,0.7656529516994633,0.7169179229480737,0.740484429065744
2021_M09-10,2021_M03-04,backward_3p,0.7472283813747228,0.7901785714285714,0.7254098360655737,0.7564102564102564
